%Vernier Format 2
%tyson-doublevolume-ptbr.cmbl 4/21/2005 18:29:17 .
%Latest
%Time	Signal 1	Signal 2
%t	Signal 1	Signal 2
%s	mV	mV
%
78.25	1155.02057354	265.126137423
78.5	1155.02057354	264.563232198
78.75	1153.32117828	264.563232198
79	1155.02057354	265.126137423
79.25	1155.02057354	264.563232198
79.5	1154.45410846	264.563232198
79.75	1153.88764337	264.563232198
80	1153.32117828	264.563232198
80.25	1152.7547132	264.563232198
80.5	1152.7547132	265.126137423
80.75	1152.7547132	264.563232198
81	1152.18824811	264.563232198
81.25	1152.18824811	264.563232198
81.5	1152.18824811	264.563232198
81.75	1151.62178302	264.563232198
82	1151.05531794	264.563232198
82.25	1150.48885285	265.126137423
82.5	1151.05531794	264.563232198
82.75	1151.05531794	264.563232198
83	1150.48885285	264.563232198
83.25	1150.48885285	264.563232198
83.5	1149.92238776	264.563232198
83.75	1149.35592268	264.563232198
84	1149.35592268	265.126137423
84.25	1149.35592268	265.126137423
84.5	1148.2229925	264.563232198
84.75	1148.2229925	264.563232198
85	1147.65652742	265.126137423
85.25	1148.2229925	265.126137423
85.5	1148.2229925	264.563232198
85.75	1147.09006233	265.126137423
86	1147.09006233	265.126137423
86.25	1146.52359724	264.563232198
86.5	1145.95713216	265.126137423
86.75	1145.95713216	264.563232198
87	1145.95713216	265.126137423
87.25	1145.39066707	265.126137423
87.5	1145.39066707	265.126137423
87.75	1144.82420198	265.126137423
88	1144.82420198	264.563232198
88.25	1144.82420198	264.563232198
88.5	1144.82420198	264.563232198
88.75	1143.69127181	264.563232198
89	1143.12480672	265.126137423
89.25	1143.69127181	264.563232198
89.5	1143.12480672	264.563232198
89.75	1143.12480672	264.563232198
90	1142.55834164	264.563232198
90.25	1142.55834164	265.126137423
90.5	1141.99187655	264.563232198
90.75	1141.99187655	264.563232198
91	1141.99187655	264.563232198
91.25	1141.99187655	264.563232198
91.5	1141.42541146	264.563232198
91.75	1141.42541146	264.563232198
92	1140.85894638	264.563232198
92.25	1140.29248129	264.563232198
92.5	1139.7260162	264.563232198
92.75	1139.7260162	264.000326974
93	1139.7260162	264.563232198
93.25	1139.15955112	264.563232198
